dataset;LifeSciences;Government;Media;Publications;Social Networking;Geographic;NumberOfLabels
keithalexander.co.uk;0;0;0;0;1;0;1
livingsources.org;0;0;0;0;1;0;1
makxdekkers.com;0;0;0;0;1;0;1
data.europeana.eu;0;0;1;0;0;0;1
thomas-riechert.de;0;0;0;1;1;0;2
crschmidt.net;0;0;1;0;1;0;2
wu.ac.at;0;0;0;1;1;0;2
tashari.org;0;0;1;0;1;0;2
cambridgesemantics.com;0;0;0;0;1;0;1
decentralyze.com;0;0;0;0;1;0;1
theleonardi.com;0;0;0;1;1;0;2
fabianabel.de;0;0;0;1;1;0;2
europa.eu;0;1;0;1;0;1;3
uk-postcodes.com;0;1;0;0;0;1;2
bbc.co.uk/music;0;0;1;0;1;0;2
shef.ac.uk;0;0;0;1;1;0;2
uio.no;0;0;0;1;1;0;2
legislation.data.gov.uk;0;1;0;0;0;0;1
onebiglibrary.net;1;0;0;1;0;0;2
wordpress.com;0;0;0;1;1;0;2
seesaa.net;0;0;0;0;1;0;1
semanticweb.org;0;0;0;1;1;0;2
data.opendatascotland.org/data/simd/income-rank;1;0;0;1;1;0;3
piana.eu;0;0;1;0;1;0;2
yomotsu.net;0;0;1;0;1;0;2
bio2rdf.org/geneid_resource:;1;0;1;0;1;0;3
equestriarp.net;1;0;0;1;1;0;3
ebremer.com;0;0;0;0;1;0;1
red.gnoss.com/en/community/nextweb/resource/;0;0;0;1;1;0;2
harvard.edu;0;0;1;0;1;0;2
tfri.gov.tw;1;0;1;0;1;0;3
glottolog.org;1;0;0;1;1;0;3
vphill.com;0;0;0;0;1;0;1
de.dbpedia.org;0;0;0;1;1;0;2
davidgalbraith.org;0;0;0;0;1;0;1
gunmonkeynet.net;0;0;0;1;1;0;2
opendatacommunities.org/id/imd/2010/imd-income-rank/;1;0;1;0;1;1;4
company.semantic-web.at;0;0;0;0;1;0;1
kwark.org;0;0;0;1;1;0;2
monarchos.com;0;0;1;0;1;0;2
trueg.de;0;0;0;0;1;0;1
opendatacommunities.org/data/wellbeing-worthwhile-mean;0;0;0;0;0;1;1
idref.fr;0;0;0;0;1;0;1
willdaniels.co.uk;0;0;0;0;1;0;1
bibsonomy.org;0;0;1;0;1;0;2
wuerzblog.de;1;1;0;1;1;0;4
opendatacommunities.org/data/societal-wellbeing/deprivation/imd-education-rank-2010;0;1;0;0;0;0;1
bka.li;0;1;0;0;0;0;1
bfs.270a.info;0;0;0;1;1;0;2
twcu.ac.jp;0;0;0;0;1;0;1
w3c.es;0;1;0;0;0;0;1
brunel.ac.uk;0;0;0;0;1;0;1
alexandrefranke.com;1;0;0;0;1;1;3
1w6.org;1;0;0;1;0;0;2
lists.lib.keele.ac.uk/;0;0;0;1;1;0;2
opendatacommunities.org/data/house-building/starts/tenure;0;0;0;1;0;0;1
opendatacommunities.org/id/housing/dwellings/;0;0;0;1;1;0;2
shadura.me;0;0;0;1;0;0;1
tw.rpi.edu;0;0;0;0;1;0;1
opendatacommunities.org/data/service-expenditure;0;0;0;0;1;0;1
opendatacommunities.org/data/transparency/impact-indicators/affordable-housing-starts;1;0;0;1;1;0;3
opendatacommunities.org/data/societal-wellbeing/deprivation/imd-environment-score-2010;0;0;0;0;1;0;1
resourcelists.ntu.ac.uk/;0;0;0;1;0;0;1
thum.us;1;0;0;0;1;0;2
uniprot.org/uniprot/;0;0;0;0;1;0;1
vihart.com;0;0;1;0;1;0;2
opendatacommunities.org/id/imd/2010/imd-housing-score/;0;0;0;1;1;0;2
fao.org;0;0;0;1;0;0;1
opendatacommunities.org/id/housing/homelessness-acceptances/;0;0;0;1;1;0;2
status.net;0;0;0;0;1;0;1
mcu.es;0;0;0;1;1;0;2
linkedmdb.org;0;0;1;1;1;0;3
rdfdiff.appspot.com;0;0;0;0;1;0;1
unime.it;0;0;1;0;0;0;1
webenemasuno.linkeddata.es;0;0;0;1;0;0;1
collectivesource.com;0;0;0;1;1;0;2
semanticweb.cs.vu.nl/europeana/lod/purl/;0;0;1;0;1;1;3
bio2rdf.org/omim_resource:;1;1;1;0;1;1;5
toxi.co.uk;0;0;0;1;1;0;2
opendatacommunities.org/data/societal-wellbeing/deprivation/imd-environment-rank-2010;0;0;0;0;0;1;1
planetrdf.com;0;0;0;0;1;0;1
lingvoj.org;0;0;0;1;1;0;2
glou.org;0;0;0;1;1;0;2
susu.org;0;0;1;0;1;1;3
datenwissen.de;0;0;0;0;1;0;1
lebsanft.org;0;0;0;1;1;0;2
statistics.data.gov.uk;0;0;0;0;1;0;1
fr.dbpedia.org;0;1;0;0;0;0;1
bio2rdf.org/genbank:;0;0;0;1;1;0;2
puc-rio.br;1;0;0;1;0;0;2
schiessle.org;0;0;0;0;1;0;1
opendatacommunities.org/data/transparency/impact-indicators/troubled-families;0;0;0;0;1;1;2
ring.ciard.net/;0;1;0;0;0;0;1
voque.org;0;0;0;1;1;0;2
antiflux.org;0;0;0;1;1;0;2
opendatacommunities.org/id/imd/2010/imd-environment-score/;0;0;0;0;1;0;1
ko.dbpedia.org;0;1;0;0;0;0;1
opendatacommunities.org/data/transparency/impact-indicators/energy-efficiency-new-builds;0;0;1;0;1;0;2
threepress.org;0;0;0;0;1;0;1
opendatacommunities.org/id/imd/2010/imd-score/lsoa/;0;0;0;1;1;0;2
bigasterisk.com;0;0;0;0;0;1;1
mmmattos.net;0;0;0;0;1;0;1
hajollyha.net;0;0;0;0;1;0;1
johndrinkwater.name;0;0;0;0;1;0;1
ptlabo.net;0;0;0;1;0;0;1
uoa.gr;1;0;0;0;1;0;2
doc.metalex.eu/doc/;0;0;0;0;1;0;1
wright.edu;0;1;0;0;0;0;1
lexinfo.net;0;0;1;0;1;0;2
umbel.org;0;0;0;1;1;0;2
w3future.com;1;0;0;0;0;0;1
openspring.net;0;1;0;0;0;1;2
debian.org;0;0;0;0;1;0;1
opendatacommunities.org/data/house-building/completions/tenure;1;0;0;0;1;1;3
quitter.se;0;0;0;1;1;0;2
abdn.ac.uk;0;0;0;0;1;0;1
drobilla.net;0;1;0;0;0;0;1
opendatacommunities.org/data/societal-wellbeing/deprivation/imd-income-rank-la-2010;0;0;0;1;1;0;2
ogbuji.net;0;0;0;0;1;0;1
codehaus.org;0;0;1;1;1;0;3
nodix.de;0;0;1;0;0;0;1
modulepool.com;0;0;0;1;1;0;2
openlylocal.com;0;0;0;0;1;0;1
lod.ac;1;1;0;0;0;1;3
sharesemantics.com;0;0;0;0;1;0;1
opendatacommunities.org/data/homelessness/homelessness-acceptances/ethnicity;0;0;1;1;1;1;4
icite.net;0;0;0;0;1;0;1
soumitrabhattacharya.com;1;0;0;1;1;1;4
danjou.info;0;1;1;0;0;1;3
logd.tw.rpi.edu/ih2/id/us/fed/agency/environmental_protection_agency/chemical/;0;0;0;1;1;0;2
bressure.net;1;0;0;1;0;0;2
simia.net;0;0;0;1;1;0;2
ldn-fai.net;0;0;0;0;1;0;1
opendatacommunities.org/data/societal-wellbeing/deprivation/imd-rank-2007;0;0;0;0;1;0;1
tschlotfeldt.de;0;0;0;1;1;0;2
cheminfov.informatics.indiana.edu:8080/pubchem;0;1;0;0;0;0;1
derfizz.de;0;1;0;0;0;0;1
librdf.org;0;0;0;0;1;0;1
oskuro.net;0;0;1;0;1;0;2
ntlworld.com;1;0;0;0;0;1;2
snell-pym.org.uk;0;1;0;0;0;0;1
opendatacommunities.org/data/societal-wellbeing/deprivation/imd-score-2007;1;0;0;1;0;1;3
thesecretmirror.com;0;0;0;1;1;0;2
jsu.eagle-i.net/i/;0;0;0;1;1;0;2
indymedia.org;0;0;0;1;1;0;2
evite.com;0;0;0;1;0;1;2
sidar.org;0;0;1;0;1;0;2
metade.org;0;1;0;0;0;0;1
el.dbpedia.org;1;0;1;1;0;0;3
opendatacommunities.org/data/input-indicators-local-authority-funding-from-government-grant;0;0;0;0;1;0;1
opendatacommunities.org/data/societal-wellbeing/deprivation/imd-crime-score-2010;0;0;0;1;0;1;2
shnoulle.net;0;0;0;1;1;0;2
stanford.edu;0;0;0;0;1;0;1
thelovebug.org;0;1;0;0;0;0;1
ninebynine.org;0;0;0;1;1;0;2
webfoundation.org;0;0;1;1;1;0;3
bio2rdf.org/kegg:;0;0;0;0;1;0;1
jonkman.ca;0;0;0;1;1;0;2
tomheath.com;1;0;1;1;0;0;3
data.semanticweb.org;0;0;0;1;1;0;2
w3.org/2006/03/wn/wn20/;0;0;0;1;1;0;2
bio2rdf.org/taxon:;0;0;0;0;1;1;2
opendatacommunities.org/id/imd/2010/imd-employment-score/;1;0;0;0;1;0;2
opencorporates.com;0;0;0;1;1;0;2
psi.oasis-open.org/iso/639/;0;1;0;1;0;0;2
opendatacommunities.org/id/imd/2010/imd-crime-score/;0;1;0;0;1;0;2
harth.org;0;1;0;0;0;0;1
ontologi.es/colour/;0;1;0;0;0;0;1
mapbureau.com;0;0;0;0;1;1;2
